Date,Open,High,Low,Close,Adj Close,Volume,Stock
2023-03-16,1656.332031,1693.14,1639.26,1677.215454,1677.215454,9364980166,ETHUSD
2023-03-17,1677.296753,1799.34,1667.13,1792.485107,1792.485107,12467445117,ETHUSD
2023-03-18,1793.592407,1840.36,1751.26,1761.659668,1761.659668,10317822213,ETHUSD
2023-03-19,1762.963257,1843.84,1762.96,1785.576538,1785.576538,9170565472,ETHUSD
2023-03-20,1785.41626,1807.73,1728.1,1735.321289,1735.321289,10978325507,ETHUSD
2023-03-21,1735.61792,1836.29,1725.01,1806.760742,1806.760742,10758627746,ETHUSD
2023-03-22,1804.957031,1821.46,1717.77,1737.717041,1737.717041,12484103560,ETHUSD
2023-03-23,1737.140869,1853.89,1732.52,1816.405151,1816.405151,11012966854,ETHUSD
2023-03-24,1815.819824,1819.94,1730.35,1752.0448,1752.0448,10913669383,ETHUSD
2023-03-25,1751.469482,1762.67,1716.65,1743.764771,1743.764771,6614309912,ETHUSD
2023-03-26,1743.842163,1797.88,1741.18,1775.676758,1775.676758,6990313307,ETHUSD
2023-03-27,1775.481323,1781.38,1690.52,1715.460815,1715.460815,8585750760,ETHUSD
2023-03-28,1715.327393,1791.11,1702.56,1772.785645,1772.785645,8346890042,ETHUSD
2023-03-29,1772.899902,1825.6,1772.9,1793.001831,1793.001831,9136176952,ETHUSD
2023-03-30,1793.345947,1827.28,1766.25,1792.737183,1792.737183,9724496987,ETHUSD
2023-03-31,1793.620117,1844.68,1783.14,1822.022095,1822.022095,9149379763,ETHUSD
2023-04-01,1821.704346,1840.17,1811.12,1813.860596,1813.860596,5556443606,ETHUSD
2023-04-02,1821.192139,1824.33,1774.87,1795.70813,1795.70813,6199721188,ETHUSD
2023-04-03,1794.922485,1839.16,1765.52,1810.297119,1810.297119,9643826401,ETHUSD
2023-04-04,1810.14209,1886.59,1802.96,1871.005127,1871.005127,10398322335,ETHUSD
2023-04-05,1870.965088,1937.5,1865.94,1909.114014,1909.114014,10319231689,ETHUSD
2023-04-06,1909.143555,1909.27,1857.09,1872.922607,1872.922607,8263191830,ETHUSD
2023-04-07,1872.734131,1882.3,1845.99,1865.636108,1865.636108,8356130492,ETHUSD
2023-04-08,1864.679077,1879.11,1848.88,1849.498169,1849.498169,5016362733,ETHUSD
2023-04-09,1849.672241,1873.06,1828.7,1859.387817,1859.387817,6361497715,ETHUSD
2023-04-10,1859.741211,1917.3,1848.16,1911.20752,1911.20752,8380134275,ETHUSD
2023-04-11,1911.375854,1936.73,1886.53,1892.189697,1892.189697,8877222956,ETHUSD
2023-04-12,1891.949707,1929.88,1860.04,1920.682129,1920.682129,11010714187,ETHUSD
2023-04-13,1917.698364,2022.15,1901.86,2012.634644,2012.634644,12546950499,ETHUSD
2023-04-14,2013.930664,2126.32,2011.5,2101.635498,2101.635498,16298099411,ETHUSD
2023-04-15,2101.616455,2111.08,2076.51,2092.466797,2092.466797,8036468153,ETHUSD
2023-04-16,2092.281006,2137.45,2076.83,2120.005859,2120.005859,7898126856,ETHUSD
2023-04-17,2120.001221,2120.11,2063.04,2076.24292,2076.24292,9648882546,ETHUSD
2023-04-18,2075.855225,2121.53,2057.65,2104.537354,2104.537354,9134015143,ETHUSD
2023-04-19,2103.946289,2104.86,1928.58,1936.403442,1936.403442,13779745451,ETHUSD
2023-04-20,1936.417969,1979.57,1918.13,1943.097656,1943.097656,11324135406,ETHUSD
2023-04-21,1943.409912,1955.65,1827.79,1849.999878,1849.999878,12044274581,ETHUSD
2023-04-22,1849.286499,1886.78,1845.85,1874.228638,1874.228638,6970642726,ETHUSD
2023-04-23,1874.171509,1882.23,1838.99,1862.062012,1862.062012,6607451862,ETHUSD
2023-04-24,1862.085327,1888.19,1811.79,1842.757446,1842.757446,8438191338,ETHUSD
2023-04-25,1842.204346,1877.48,1805.32,1866.753662,1866.753662,8677255481,ETHUSD
2023-04-26,1866.148926,1962.57,1792.46,1866.564209,1866.564209,14356524696,ETHUSD
2023-04-27,1866.693237,1936.95,1863.15,1908.786377,1908.786377,14008145806,ETHUSD
2023-04-28,1909.273071,1923.2,1876.29,1892.512817,1892.512817,7691759733,ETHUSD
2023-04-29,1892.565063,1916.97,1887.99,1908.916992,1908.916992,4796651246,ETHUSD
2023-04-30,1908.741333,1938.42,1876.92,1876.924316,1876.924316,6539641957,ETHUSD
2023-05-01,1868.891113,1886.21,1809.19,1831.954834,1831.954834,8625783201,ETHUSD
2023-05-02,1831.726563,1879.76,1824.33,1870.789307,1870.789307,7536785767,ETHUSD
2023-05-03,1870.687134,1915.5,1845.87,1904.651855,1904.651855,8306390869,ETHUSD
2023-05-04,1905.168945,1915.87,1868.63,1877.704102,1877.704102,6578438233,ETHUSD
2023-05-05,1877.83313,1998.41,1876.95,1995.060913,1995.060913,9498261360,ETHUSD
2023-05-06,1995.479126,2017.56,1870.61,1900.221802,1900.221802,9623243037,ETHUSD
2023-05-07,1899.917603,1934,1873.08,1873.076416,1873.076416,6883942236,ETHUSD
2023-05-08,1872.475098,1886.16,1818.45,1849.042725,1849.042725,9895102899,ETHUSD
